week,Unnamed: 0,Unnamed: 0.1,distance,time,cumulative_distance,cumulative_time,cumulative_hours,%_of_10000,month,year,distance_km,cumulative_distance_km
42,1967,1967,0.0,0.0,4892559.0,27887.09000000001,464.78483333333327,4.652981666666667,49,14140,0.0,4892.559
36,1673,1673,0.0,0.0,4701809.0,26928.09000000001,448.80150000000003,4.493148333333334,42,14140,0.0,4701.809
41,1918,1918,0.0,0.0,4892559.0,27887.09000000001,464.78483333333327,4.652981666666667,49,14140,0.0,4892.559
43,2016,2016,0.0,0.0,4892559.0,27887.09000000001,464.78483333333327,4.652981666666667,49,14140,0.0,4892.559
49,2310,2310,0.0,0.0,5224709.0,29621.34000000001,493.68899999999996,4.942490000000001,62,14140,0.0,5224.708999999999
51,2408,2408,0.0,0.0,5266709.0,29831.34000000001,497.18899999999996,4.97749,63,14140,0.0,5266.708999999999
52,2457,2457,0.0,0.0,5266709.0,29831.34000000001,497.18899999999996,4.97749,63,14140,0.0,5266.708999999999
53,2506,2506,0.0,0.0,5266709.0,29831.34000000001,497.18899999999996,4.97749,67,14140,0.0,5266.708999999999
13,532,532,0.0,0.0,1140699.0,6010.970000000001,100.18283333333335,1.0036949999999993,84,14133,0.0,1140.699
38,1771,1771,0.0,0.0,4745209.0,27138.09000000001,452.30150000000003,4.528148333333333,42,14140,0.0,4745.208999999999
9,336,336,0.0,0.0,1056699.0,5555.970000000001,92.59949999999999,0.9278616666666663,78,14133,0.0,1056.699
79,3752,3752,0.0,0.0,10516338.0,58956.38000000002,982.6063333333327,9.847996666666665,21,14147,0.0,10516.338000000002
99,4739,4739,0.0,0.0,14600915.0,86046.58999999997,1434.1098333333332,14.292833333333332,56,14147,0.0,14600.914999999997
10,385,385,0.0,0.0,1056699.0,5555.970000000001,92.59949999999999,0.9278616666666663,84,14133,0.0,1056.699
61,412,412,1009.0,5.3,929572.0,5238.660000000001,87.31100000000002,0.8742433333333334,11,2020,1.009,929.572
132,6328,6328,3500.0,32.0,18666088.0,111717.82999999999,1861.9638333333342,18.545333333333332,21,14154,3.5,18666.087999999996
6,30,30,3500.0,25.0,92207.0,494.42,8.240333333333334,0.08267,11,2019,3.5,92.207
26,1176,1176,4300.0,30.0,3472999.0,20281.27,338.0211666666666,3.384411666666666,21,14140,4.3,3472.9990000000003
127,6083,6083,5000.0,22.59,17838083.0,106101.33999999997,1768.3556666666664,17.6135,14,14154,5.0,17838.083000000002
33,1519,1519,5000.0,21.05,4502809.0,25852.72000000001,430.8786666666667,4.313453333333333,35,14140,5.0,4502.809
116,5586,5586,5000.0,22.4,16526290.0,97162.16999999997,1619.3694999999998,16.130666666666663,84,14147,5.0,16526.289999999997
133,6377,6377,5000.0,21.01,18676088.0,111759.84999999998,1862.6641666666678,18.56,24,14154,5.0,18676.087999999996
117,5635,5635,5000.0,28.22,16561290.0,97330.60999999996,1622.176833333333,16.158333333333335,84,14147,5.0,16561.289999999997
