,date,activity,distance,time,cumulative_distance,cumulative_time,cumulative_hours,%_of_10000
0,2019-10-12,Park Run,5000.0,28.19,5000.0,28.19,0.4698333333333334,0.004698333333333334
1,2019-10-13,Run,5019.0,29.13,10019.0,57.32,0.9553333333333334,0.009553333333333332
2,2019-10-14,,,,,,,
3,2019-10-15,,,,,,,
4,2019-10-16,Run,6021.0,38.06,16040.0,95.38,1.5896666666666666,0.015896666666666667
5,2019-10-17,Run,5011.0,29.53,21051.0,125.31,2.0885000000000002,0.020885
6,2019-10-18,,,,,,,
7,2019-10-19,Park Run,5000.0,25.25,26051.0,150.56,2.509333333333333,0.025093333333333332
8,2019-10-20,,,,,,,
9,2019-10-21,Run,10006.0,55.06,36057.0,206.02,3.433666666666667,0.03433666666666667
10,2019-10-22,,,,,,,
11,2019-10-23,Cooper Run,2750.0,12.0,38807.0,218.02,3.633666666666667,0.03633666666666667
12,2019-10-24,,,,,,,
13,2019-10-25,,,,,,,
14,2019-10-26,,,,,,,
15,2019-10-27,,,,,,,
16,2019-10-28,,,,,,,
17,2019-10-29,Treadmil Run,10000.0,54.32,48807.0,272.34000000000003,4.539000000000001,0.04539
18,2019-10-30,Spin Class ,8000.0,30.0,56807.0,302.34000000000003,5.039000000000001,0.050390000000000004
19,2019-10-31,Treadmil Run,5000.0,25.0,61807.0,327.34000000000003,5.4556666666666676,0.05455666666666667
20,2019-11-01,,,,,,,
21,2019-11-02,Park Run,5000.0,23.5,66807.0,351.24,5.854,0.05854
22,2019-11-03,,,,,,,
23,2019-11-04,Treadmil Run,5000.0,29.0,71807.0,380.24,6.3373333333333335,0.06337333333333334
24,2019-11-05,Run,4750.0,26.0,76557.0,406.24,6.770666666666667,0.06770666666666666
25,2019-11-06,,,,,,,
26,2019-11-07,Run,12150.0,64.38,88707.0,471.02,7.850333333333333,0.07850333333333334
27,2019-11-08,,,,,,,
28,2019-11-09,,,,,,,
29,2019-11-10,,,,,,,
30,2019-11-11,Sprints,3500.0,25.0,92207.0,496.02,8.267,0.08267
31,2019-11-11,Spin Class ,8500.0,30.0,100707.0,526.02,8.767,0.08767
32,2019-11-12,Sprints,4250.0,25.0,104957.0,551.02,9.183666666666666,0.09183666666666666
33,2019-11-13,,,,,,,
34,2019-11-14,Treadmil Run,15000.0,82.0,119957.0,633.02,10.550333333333333,0.10550333333333332
35,2019-11-15,,,,,,,
36,2019-11-16,,,,,,,
37,2019-11-17,,,,,,,
38,2019-11-18,Treadmil Run,5000.0,23.2,124957.0,656.22,10.937000000000001,0.10937
39,2019-11-19,,,,,,,
40,2019-11-20,Run,21000.0,115.08,145957.0,771.3,12.854999999999999,0.12855
41,2019-11-21,,,,,,,
42,2019-11-22,,,,,,,
43,2019-11-23,Park Run,5000.0,24.01,150957.0,795.31,13.255166666666666,0.13255166666666665
44,2019-11-24,,,,,,,
45,2019-11-25,,,,,,,
46,2019-11-26,,,,,,,
47,2019-11-27,,,,,,,
48,2019-11-28,,,,,,,
49,2019-11-29,,,,,,,
50,2019-11-30,,,,,,,
51,2019-12-01,,,,,,,
52,2019-12-02,,,,,,,
53,2019-12-03,,,,,,,
54,2019-12-04,,,,,,,
55,2019-12-05,,,,,,,
56,2019-12-06,,,,,,,
57,2019-12-07,,,,,,,
58,2019-12-08,,,,,,,
59,2019-12-09,Run,6500.0,35.0,157457.0,830.31,13.8385,0.13838499999999998
60,2019-12-10,,,,,,,
61,2019-12-11,,,,,,,
62,2019-12-12,,,,,,,
63,2019-12-13,,,,,,,
64,2019-12-14,,,,,,,
65,2019-12-15,,,,,,,
66,2019-12-16,,,,,,,
67,2019-12-17,,,,,,,
68,2019-12-18,,,,,,,
69,2019-12-19,Run,5500.0,30.0,162957.0,860.31,14.3385,0.14338499999999998
70,2019-12-20,,,,,,,
71,2019-12-21,,,,,,,
72,2019-12-22,,,,,,,
73,2019-12-23,,,,,,,
74,2019-12-24,,,,,,,
