,Unnamed: 0,date,activity,distance,time,cumulative_distance,cumulative_time,cumulative_hours,%_of_10000,month,year,month_year,dayofweek,week,distance_km,cumulative_distance_km
0,0,2019-10-12,Park Run,5000.0,28.19,5000.0,28.19,0.4698333333333334,0.0046983333333333,10,2019,201910,5,0,5.0,5.0
1,1,2019-10-13,Run,5019.0,29.13,10019.0,57.32,0.9553333333333334,0.0095533333333333,10,2019,201910,6,0,5.019,10.019
2,2,2019-10-14,,,,10019.0,57.32,0.9553333333333334,0.0095533333333333,10,2019,201910,0,2,,10.019
3,3,2019-10-15,,,,10019.0,57.32,0.9553333333333334,0.0095533333333333,10,2019,201910,1,2,,10.019
4,4,2019-10-16,Run,6021.0,38.06,16040.0,95.38,1.5896666666666668,0.0158966666666666,10,2019,201910,2,2,6.021,16.04
5,5,2019-10-17,Run,5011.0,29.53,21051.0,124.91,2.0818333333333334,0.020885,10,2019,201910,3,2,5.011,21.051
6,6,2019-10-18,,,,21051.0,124.91,2.0818333333333334,0.020885,10,2019,201910,4,2,,21.051
7,7,2019-10-19,Park Run,5000.0,25.25,26051.0,150.16,2.502666666666667,0.0250933333333333,10,2019,201910,5,2,5.0,26.051
8,8,2019-10-20,,,,26051.0,150.16,2.502666666666667,0.0250933333333333,10,2019,201910,6,2,,26.051
9,9,2019-10-21,Run,10006.0,55.06,36057.0,205.22,3.4203333333333337,0.0343366666666666,10,2019,201910,0,3,10.006,36.057
10,10,2019-10-22,,,,36057.0,205.22,3.4203333333333337,0.0343366666666666,10,2019,201910,1,3,,36.057
11,11,2019-10-23,Cooper Run,2750.0,12.0,38807.0,217.22,3.620333333333334,0.0363366666666666,10,2019,201910,2,3,2.75,38.807
12,12,2019-10-24,,,,38807.0,217.22,3.620333333333334,0.0363366666666666,10,2019,201910,3,3,,38.807
13,13,2019-10-25,,,,38807.0,217.22,3.620333333333334,0.0363366666666666,10,2019,201910,4,3,,38.807
14,14,2019-10-26,,,,38807.0,217.22,3.620333333333334,0.0363366666666666,10,2019,201910,5,3,,38.807
15,15,2019-10-27,,,,38807.0,217.22,3.620333333333334,0.0363366666666666,10,2019,201910,6,3,,38.807
16,16,2019-10-28,,,,38807.0,217.22,3.620333333333334,0.0363366666666666,10,2019,201910,0,4,,38.807
17,17,2019-10-29,Treadmil Run,10000.0,54.32,48807.0,271.54,4.525666666666667,0.04539,10,2019,201910,1,4,10.0,48.807
18,18,2019-10-30,Spin Class ,8000.0,30.0,56807.0,301.54,5.025666666666667,0.05039,10,2019,201910,2,4,8.0,56.807
19,19,2019-10-31,Treadmil Run,5000.0,25.0,61807.0,326.54,5.442333333333334,0.0545566666666666,10,2019,201910,3,4,5.0,61.807
20,20,2019-11-01,,,,61807.0,326.54,5.442333333333334,0.0545566666666666,11,2019,201911,4,4,,61.807
21,21,2019-11-02,Park Run,5000.0,23.5,66807.0,350.04,5.8340000000000005,0.05854,11,2019,201911,5,4,5.0,66.807
22,22,2019-11-03,,,,66807.0,350.04,5.8340000000000005,0.05854,11,2019,201911,6,4,,66.807
23,23,2019-11-04,Treadmil Run,5000.0,29.0,71807.0,379.04,6.317333333333334,0.0633733333333333,11,2019,201911,0,5,5.0,71.807
24,24,2019-11-05,Run,4750.0,26.0,76557.0,405.04,6.7506666666666675,0.0677066666666666,11,2019,201911,1,5,4.75,76.557
25,25,2019-11-06,,,,76557.0,405.04,6.7506666666666675,0.0677066666666666,11,2019,201911,2,5,,76.557
26,26,2019-11-07,Run,12150.0,64.38,88707.0,469.42,7.823666666666668,0.0785033333333333,11,2019,201911,3,5,12.15,88.707
27,27,2019-11-08,,,,88707.0,469.42,7.823666666666668,0.0785033333333333,11,2019,201911,4,5,,88.707
28,28,2019-11-09,,,,88707.0,469.42,7.823666666666668,0.0785033333333333,11,2019,201911,5,5,,88.707
29,29,2019-11-10,,,,88707.0,469.42,7.823666666666668,0.0785033333333333,11,2019,201911,6,5,,88.707
30,30,2019-11-11,Sprints,3500.0,25.0,92207.0,494.42,8.240333333333334,0.08267,11,2019,201911,0,6,3.5,92.207
31,31,2019-11-11,Spin Class ,8500.0,30.0,100707.0,524.4200000000001,8.740333333333334,0.08767,11,2019,201911,0,7,8.5,100.707
32,32,2019-11-12,Sprints,4250.0,25.0,104957.0,549.4200000000001,9.157,0.0918366666666666,11,2019,201911,1,7,4.25,104.957
33,33,2019-11-13,,,,104957.0,549.4200000000001,9.157,0.0918366666666666,11,2019,201911,2,7,,104.957
34,34,2019-11-14,Treadmil Run,15000.0,82.0,119957.0,631.4200000000001,10.523666666666667,0.1055033333333333,11,2019,201911,3,7,15.0,119.957
35,35,2019-11-15,,,,119957.0,631.4200000000001,10.523666666666667,0.1055033333333333,11,2019,201911,4,7,,119.957
36,36,2019-11-16,,,,119957.0,631.4200000000001,10.523666666666667,0.1055033333333333,11,2019,201911,5,7,,119.957
37,37,2019-11-17,,,,119957.0,631.4200000000001,10.523666666666667,0.1055033333333333,11,2019,201911,6,7,,119.957
38,38,2019-11-18,Treadmil Run,5000.0,23.2,124957.0,654.6200000000001,10.910333333333334,0.10937,11,2019,201911,0,8,5.0,124.957
39,39,2019-11-19,,,,124957.0,654.6200000000001,10.910333333333334,0.10937,11,2019,201911,1,8,,124.957
40,40,2019-11-20,Run,21000.0,115.08,145957.0,769.7000000000002,12.828333333333333,0.12855,11,2019,201911,2,8,21.0,145.957
41,41,2019-11-21,,,,145957.0,769.7000000000002,12.828333333333333,0.12855,11,2019,201911,3,8,,145.957
42,42,2019-11-22,,,,145957.0,769.7000000000002,12.828333333333333,0.12855,11,2019,201911,4,8,,145.957
43,43,2019-11-23,Park Run,5000.0,24.01,150957.0,793.7100000000002,13.2285,0.1325516666666666,11,2019,201911,5,8,5.0,150.957
44,44,2019-11-24,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,11,2019,201911,6,8,,150.957
45,45,2019-11-25,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,11,2019,201911,0,9,,150.957
46,46,2019-11-26,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,11,2019,201911,1,9,,150.957
47,47,2019-11-27,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,11,2019,201911,2,9,,150.957
48,48,2019-11-28,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,11,2019,201911,3,9,,150.957
49,49,2019-11-29,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,11,2019,201911,4,9,,150.957
50,50,2019-11-30,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,11,2019,201911,5,9,,150.957
51,51,2019-12-01,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,12,2019,201912,6,9,,150.957
52,52,2019-12-02,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,12,2019,201912,0,10,,150.957
53,53,2019-12-03,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,12,2019,201912,1,10,,150.957
54,54,2019-12-04,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,12,2019,201912,2,10,,150.957
55,55,2019-12-05,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,12,2019,201912,3,10,,150.957
56,56,2019-12-06,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,12,2019,201912,4,10,,150.957
57,57,2019-12-07,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,12,2019,201912,5,10,,150.957
58,58,2019-12-08,,,,150957.0,793.7100000000002,13.2285,0.1325516666666666,12,2019,201912,6,10,,150.957
59,59,2019-12-09,Run,6500.0,35.0,157457.0,828.7100000000002,13.811833333333334,0.1383849999999999,12,2019,201912,0,11,6.5,157.457
60,60,2019-12-10,,,,157457.0,828.7100000000002,13.811833333333334,0.1383849999999999,12,2019,201912,1,11,,157.457
61,61,2019-12-11,,,,157457.0,828.7100000000002,13.811833333333334,0.1383849999999999,12,2019,201912,2,11,,157.457
62,62,2019-12-12,,,,157457.0,828.7100000000002,13.811833333333334,0.1383849999999999,12,2019,201912,3,11,,157.457
63,63,2019-12-13,,,,157457.0,828.7100000000002,13.811833333333334,0.1383849999999999,12,2019,201912,4,11,,157.457
64,64,2019-12-14,,,,157457.0,828.7100000000002,13.811833333333334,0.1383849999999999,12,2019,201912,5,11,,157.457
65,65,2019-12-15,,,,157457.0,828.7100000000002,13.811833333333334,0.1383849999999999,12,2019,201912,6,11,,157.457
66,66,2019-12-16,,,,157457.0,828.7100000000002,13.811833333333334,0.1383849999999999,12,2019,201912,0,12,,157.457
67,67,2019-12-17,,,,157457.0,828.7100000000002,13.811833333333334,0.1383849999999999,12,2019,201912,1,12,,157.457
68,68,2019-12-18,,,,157457.0,828.7100000000002,13.811833333333334,0.1383849999999999,12,2019,201912,2,12,,157.457
69,69,2019-12-19,Run,5500.0,30.0,162957.0,858.7100000000002,14.311833333333334,0.1433849999999999,12,2019,201912,3,12,5.5,162.957
70,70,2019-12-20,,,,162957.0,858.7100000000002,14.311833333333334,0.1433849999999999,12,2019,201912,4,12,,162.957
71,71,2019-12-21,,,,162957.0,858.7100000000002,14.311833333333334,0.1433849999999999,12,2019,201912,5,12,,162.957
72,72,2019-12-22,,,,162957.0,858.7100000000002,14.311833333333334,0.1433849999999999,12,2019,201912,6,12,,162.957
73,73,2019-12-23,,,,162957.0,858.7100000000002,14.311833333333334,0.1433849999999999,12,2019,201912,0,13,,162.957
74,74,2019-12-24,,,,162957.0,858.7100000000002,14.311833333333334,0.1433849999999999,12,2019,201912,1,13,,162.957
75,75,2019-12-25,,,,162957.0,858.7100000000002,14.311833333333334,0.1433849999999999,12,2019,201912,2,13,,162.957
76,76,2019-12-26,,,,162957.0,858.7100000000002,14.311833333333334,0.1433849999999999,12,2019,201912,3,13,,162.957
77,77,2019-12-27,,,,162957.0,858.7100000000002,14.311833333333334,0.1433849999999999,12,2019,201912,4,13,,162.957
78,78,2019-12-28,,,,162957.0,858.7100000000002,14.311833333333334,0.1433849999999999,12,2019,201912,5,13,,162.957
79,79,2019-12-29,,,,162957.0,858.7100000000002,14.311833333333334,0.1433849999999999,12,2019,201912,6,13,,162.957
80,80,2019-12-30,Run,15000.0,85.0,177957.0,943.7100000000002,15.7285,0.1575516666666666,12,2019,201912,0,14,15.0,177.957
